"Core Project Number","Affiliation","Pub Year","Authors","Country","ISSN","Journal Issue","Journal (Link to PubMed abstract)","Journal Title ABBR","Journal Volume","Language","Page Number","PMC ID","PMID","PUB Date","Title (Link to full-text in PubMed Central)","Related Publications in PubMed","Related Publications in Google Scholar","Articles Citing from PubMed Central","Articles Citing from Google Scholar","Clinical Trials cited","Relative Citation Ratio",
"ZIADK013037"," ","2022","Hall, Kevin D","United States","1930-739X","1","<a href='https://www.ncbi.nlm.nih.gov/pubmed/34816627'>Obesity (Silver Spring, Md.)</a>","Obesity (Silver Spring)","30","eng","11-13"," ","34816627","2022 Jan","Energy compensation and metabolic adaptation: 'The Biggest Loser' study reinterpreted.","<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=34816627&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/34816627'>Related, Google Scholar</a>"," ","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/'>Cited By, Google</a>"," "," ",
"ZICDK071013"," ","2022","Stefansdottir, Runa; Rognvaldsdottir, Vaka; Chen, Kong Y; Johannsson, Erlingur; Brychta, Robert J","England","1365-2869","1","<a href='https://www.ncbi.nlm.nih.gov/pubmed/34128282'>Journal of sleep research</a>","J Sleep Res","31","eng","e13422"," ","34128282","2022 02","Sleep timing and consistency are associated with the standardised test performance of Icelandic adolescents.","<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=34128282&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/34128282'>Related, Google Scholar</a>"," ","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/'>Cited By, Google</a>"," "," ",
"ZIADK075021"," ","2021","Pydi, Sai P; Barella, Luiz F; Meister, Jaroslawna; Wess, Jürgen","United States","1879-3061","2","<a href='https://www.ncbi.nlm.nih.gov/pubmed/33358450'>Trends in endocrinology and metabolism: TEM</a>","Trends Endocrinol Metab","32","eng","118-129","7855863","33358450","2021 02","<a href='https://www.ncbi.nlm.nih.gov/pubmed/7855863'>Key Metabolic Functions of β-Arrestins: Studies with Novel Mouse Models.</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=33358450&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/33358450'>Related, Google Scholar</a>","<a href='https://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=7855863&action=cited'>Cited By, PMC</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/7855863'>Cited By, Google</a>"," "," ",
"ZIADK013037"," ","2021","Doucet, Eric; Hall, Kevin; Miller, Andrea; Taylor, Valerie H; Ricupero, Maria; Haines, Jess; Brauer, Paula; Gudzune, Kimberly A; House, James D; Dhaliwal, Rupinder","Canada","1715-5320","3","<a href='https://www.ncbi.nlm.nih.gov/pubmed/33086027'>Applied physiology, nutrition, and metabolism = Physiologie appliquee, nutrition et metabolisme</a>","Appl Physiol Nutr Metab","46","eng","288-293"," ","33086027","2021 Mar","Emerging insights in weight management and prevention: implications for practice and research.","<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=33086027&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/33086027'>Related, Google Scholar</a>"," ","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/'>Cited By, Google</a>"," "," ",
"ZIADK025021"," ","2021","Suresh, Sukanya; Wright, Elizabeth C; Wright, Daniel G; Abbott, Kevin C; Noguchi, Constance T","United States","1523-4681","7","<a href='https://www.ncbi.nlm.nih.gov/pubmed/33949002'>Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research</a>","J Bone Miner Res","36","eng","1211-1219","8360057","33949002","2021 07","<a href='https://www.ncbi.nlm.nih.gov/pubmed/8360057'>Erythropoietin treatment and the risk of hip fractures in hemodialysis patients.</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=33949002&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/33949002'>Related, Google Scholar</a>","<a href='https://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=8360057&action=cited'>Cited By, PMC</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/8360057'>Cited By, Google</a>"," "," ",
"ZIADK013037"," ","2021","Hall, Kevin D; Guo, Juen; Courville, Amber B; Boring, James; Brychta, Robert; Chen, Kong Y; Darcey, Valerie; Forde, Ciaran G; Gharib, Ahmed M; Gallagher, Isabelle; Howard, Rebecca; Joseph, Paule V; Milley, Lauren; Ouwerkerk, Ronald; Raisinger, Klaudia; Rozga, Irene; Schick, Alex; Stagliano, Michael; Torres, Stephan; Walter, Mary; Walter, Peter; Yang, Shanna; Chung, Stephanie T","United States","1546-170X","2","<a href='https://www.ncbi.nlm.nih.gov/pubmed/33479499'>Nature medicine</a>","Nat Med","27","eng","344-353"," ","33479499","2021 02","Effect of a plant-based, low-fat diet versus an animal-based, ketogenic diet on ad libitum energy intake.","<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=33479499&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/33479499'>Related, Google Scholar</a>"," ","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/'>Cited By, Google</a>"," ",7.52
"ZIADK075021"," ","2021","Wang, Lei; Zhu, Lu; Meister, Jaroslawna; Bone, Derek B J; Pydi, Sai P; Rossi, Mario; Wess, Jürgen","United States","1545-4304"," ","<a href='https://www.ncbi.nlm.nih.gov/pubmed/32746768'>Annual review of pharmacology and toxicology</a>","Annu Rev Pharmacol Toxicol","61","eng","421-440"," ","32746768","2021 01 06","Use of DREADD Technology to Identify Novel Targets for Antidiabetic Drugs.","<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=32746768&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/32746768'>Related, Google Scholar</a>"," ","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/'>Cited By, Google</a>"," "," ",
"ZIADK069091"," ","2021","Basolo, Alessio; Hollstein, Tim; Shah, Mujtaba H; Walter, Mary; Krakoff, Jonathan; Votruba, Susanne B; Piaggi, Paolo","United States","1938-3207","4","<a href='https://www.ncbi.nlm.nih.gov/pubmed/34159373'>The American journal of clinical nutrition</a>","Am J Clin Nutr","114","eng","1518-1522","8488863","34159373","2021 Oct 04","Higher fasting plasma FGF21 concentration is associated with lower ad libitum soda consumption in humans.","<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=34159373&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/34159373'>Related, Google Scholar</a>","<a href='https://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=8488863&action=cited'>Cited By, PMC</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/8488863'>Cited By, Google</a>"," "," ",
"ZIADK013037"," ","2021","Speakman, John R; Hall, Kevin D","United States","1095-9203","6542","<a href='https://www.ncbi.nlm.nih.gov/pubmed/33958466'>Science (New York, N.Y.)</a>","Science","372","eng","577-578"," ","33958466","2021 05 07","Carbohydrates, insulin, and obesity.","<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=33958466&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/33958466'>Related, Google Scholar</a>"," ","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/'>Cited By, Google</a>"," "," ",
"ZIADK069091"," ","2021","Mitchell, Cassie M; Piaggi, Paolo; O'Brien, Diane M; Krakoff, Jonathan; Votruba, Susanne B","United States","1930-739X","6","<a href='https://www.ncbi.nlm.nih.gov/pubmed/33938613'>Obesity (Silver Spring, Md.)</a>","Obesity (Silver Spring)","29","eng","995-1002"," ","33938613","2021 06","Metabolic Characterization of Meat, Fish, and Soda Intake in Males: Secondary Results from a Randomized Inpatient Pilot Study.","<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=33938613&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/33938613'>Related, Google Scholar</a>"," ","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/'>Cited By, Google</a>"," "," ",
